,COMPANY ID,CITY,ST,DOMICILE REGION,ZIP,TRAC,TRAIL,VAN,REFR,INTER,CURT,FLAT,STEP,DD,OVER,TANK,PNEUM,BULK,Company ID,BEVERAGES,BUILDING_MATERIALS,CHEMICALS,COAL_COKE,CONSTRUCT,DRIVE_TOW,DRY_BULK,FARM_SUPPLIES,FRESH_PRODUCE,GARBAGE_TRASH,GENERAL_FREIGHT,GRAIN_FEED,HOUSEHOLD_GOODS,INTERMODAL,LIQUIDS_GASES,LIVESTOCK,LOG_POLE,MACHINERY_LARGE_OBJECTS,MEAT,METAL_SHEETS_ROLLS,MOBILE_HOMES,MOTOR_VEHICLES,OILFIELD_EQUIPMENT,OTHER,PAPER_PRODUCTS,PASSENGERS,REFRIGERATED_FOOD,US_MAIL,UTILITY,Unavailable,WATER_WELL,ONLY_VAN,VAN_REFR,VAN_FLAT,ONLY_REFR,ONLY_FLAT,REFR_FLAT
805,869,COMMERCE CITY,CO,MTW,80022,0.010258107213765718,0.007,0,0,0,0,0,0,0,0,0,0,0.0,869,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,0,0,0,0
2498,2853,SIDNEY,OH,MDW,45365,0.08603573792190602,0.12300000000000001,0,1,0,0,0,0,0,0,0,0,0.0,2853,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0,0,0,1,0,0
1692,1924,VANCOUVER,WA,PAC,82501,0.008934480476505625,0.0204,1,0,0,0,0,0,0,0,0,0,0.0,1924,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
4761,5429,LEXINGTON,TN,SE,38351,0.018199867637326273,0.027,1,0,0,0,0,0,0,0,0,0,0.0,5429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
5018,5707,WACO,TX,CEN,76715,0.005625413633355393,0.0082,0,0,0,0,0,0,0,0,1,1,0.0,5707,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1353,1533,WARRENTON,MO,CEN,63383,0.001985440105890139,0.0012000000000000001,0,0,0,0,0,0,0,0,0,0,0.0,1533,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
4752,5419,SOUTH FULTON,TN,SE,38257,0.001985440105890139,0.0012000000000000001,0,0,0,1,1,0,0,0,0,0,0.0,5419,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,1,0
5178,5886,WATERFORD,WI,MDW,53185,0.003639973527465255,0.0022,0,0,0,1,0,0,0,0,0,0,0.0,5886,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0
1078,1191,FONTANA,CA,PAC,92335,0.01985440105890139,0.019,1,0,0,0,0,0,0,0,0,0,0.0,1191,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,0,0,0,0
3091,3528,WOODBRIDGE,ON,CAN,L4H 0S6,0.014890800794176042,0.02,1,1,0,0,0,0,0,0,0,0,0.0,3528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0,0,0
